text,toxicity,severe_toxicity,obscene,threat,insult,identity_attack,sexual_explicit,_primary_case_type
"Anyone who thinks that Trump's populist authoritarianism will be good for jobs, is in for a shock.",0.15000000596046448,0.0,0.0,0.05000000074505806,0.10000000149011612,0.0,0.0,threat
Just let evolution take it's natural course and do nothing while saving resources the state does not have.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,clean
"No facts? I was there, and I own a home. My in-laws were there, they've owned their home since the late 60s. We protest not because we're worried about a sea change, but because this sociopath does not represent the American value system. If you believe his lies, then I really do feel sorry for you. Unless you are quite wealthy, you're undermining your own interest.",0.30000001192092896,0.10000000149011612,0.0,0.0,0.30000001192092896,0.0,0.0,severe_toxicity
"Sorry to have to do this, but just to see if profanity filtering is enabled: fuck.",0.8030303120613098,0.10606060922145844,0.7272727489471436,0.0,0.21212121844291687,0.0,0.03030303120613098,sexual_explicit
"depends. I saw a chiro and they adjusted my upper back and then gave me therepies. not all chiros are crazy ""oh your leg is .5% out of alignment come to me twice a week for 100$ a visit"" types",0.20000000298023224,0.0,0.0,0.0,0.20000000298023224,0.0,0.0,insult
"Good job guys, it's working! You're really putting a dent in her income now. Eventually she'll close up shop and move away, and we can rejoice in the fact that we have maintained ideological purity of our restaurant scene!",0.1666666716337204,0.0,0.1666666716337204,0.0,0.1666666716337204,0.0,0.1666666716337204,sexual_explicit
"Man!  If you look at his mug shot, somebody gave him quite the black eye recently!  Wonder if it was the burglary victim?  The police didn't charge Resisting Arrest so it probably wasn't them.",0.0,0.0,0.0,0.1666666716337204,0.0,0.0,0.0,threat
http://www.oregonlive.com/pacific-northwest-news/index.ssf/2014/04/monroe_woman_shot_while_walkin.html has some more details. They were shooting downhill toward the road which was 100 yards away!,0.0,0.0,0.0,0.1428571492433548,0.0,0.0,0.0,threat
"""Are you familiar with the tax structure of the 50’s?"" Absolutely, it's what caused the recession JFK had to deal with and why JFK explained how how detrimental this ridiculous tax codes were to our economy and the working folks. As for trickledown, that is propaganda liberals came up with sheeple graze on.",0.1666666716337204,0.0,0.0,0.0,0.1666666716337204,0.1666666716337204,0.0,identity_attack
"Truth hurts
Don't recall saying anything about lcc
What's your point",0.0,0.0,0.0,0.0,0.0,0.0,0.1666666716337204,sexual_explicit
"I'm sorry for your loss. Avalanches are unpredictable on a slope to slope basis, so be safe out there",0.20000000298023224,0.10000000149011612,0.0,0.0,0.10000000149011612,0.0,0.0,severe_toxicity
"hello aja.........thank you for being so prompt in addressing user concerns.  I realize this is a ""new"" site and you, quite naturally, have some glitches to address.  I feel you guys are doing so and have already solved several of them.  As a user, may I congratulate you on the hard work you guys are doing to continue to improve the site.  regards, Gary",0.1666666716337204,0.0,0.0,0.0,0.0,0.0,0.1666666716337204,sexual_explicit
The time for political correctness is past. At least according to Trump.,0.1666666716337204,0.0,0.1666666716337204,0.0,0.0,0.0,0.1666666716337204,sexual_explicit
"No, I'm a habitual liar with an ad hominem attack reflex bordering on Tourette's, so I wouldn't believe a darn word I say if I were you.",0.4000000059604645,0.0,0.5,0.0,0.20000000298023224,0.0,0.0,obscene
"Folks It is very likely the vote was subverted in the first place. The count was stopped at a point well within the margin of error, and no more votes were counted. This law should be repealed because it violates Federal law. No one who has taken the oath can stand by and watch this criminal activity occur  within our borders and do nothing.",0.1666666716337204,0.1666666716337204,0.0,0.0,0.0,0.0,0.0,severe_toxicity
I think every incumbent republican legislator should be voted out in the next election. They got us into this mess and seem unwilling to try and fix it.,0.1666666716337204,0.0,0.1666666716337204,0.0,0.0,0.0,0.0,obscene
"Nice job, WW, posting unofficial heresay poached from a personal FB page as news. Slimy.",0.699999988079071,0.0,0.10000000149011612,0.0,0.800000011920929,0.0,0.0,obscene
You're a cold-hearted mo-fo.,0.30000001192092896,0.0,0.10000000149011612,0.0,0.30000001192092896,0.0,0.0,obscene
"Yes, those who rejoice in death are mentally ill.  It is unfortunate that we have so many in America.",0.5,0.0,0.0,0.0,0.5,0.10000000149011612,0.0,identity_attack
"Oh, great. So now we're going to have to fight against Fluoride again. That stuff is toxic and doesn't belong in our water. Don't vote for this guy! http://fluoridealert.org/",0.1666666716337204,0.0,0.0,0.0,0.1666666716337204,0.0,0.0,insult
Absurd bail-- maybe. False accusation? We'll let the jury decide.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,clean
The Troll is strong with this one.,0.6000000238418579,0.0,0.0,0.0,0.6000000238418579,0.0,0.0,insult
"""It all depends how the math works when the total package is put together"". Duh, that's your job - do the math. We will still be in deficit spending mode.",0.1666666716337204,0.0,0.0,0.0,0.1666666716337204,0.0,0.0,insult
"Have to second Simon & Seafort's Scratch Margarita; best I have had in Anchorage! Will try Tequila 61 though, sounds cool!",0.0,0.0,0.0,0.0,0.0,0.0,0.0,clean
"If you can't deal with a dog, then you should not be allowed to have one. Please find a humane person that is able to love and take care of this beautiful animal. You are a very sick person.",0.800000011920929,0.0,0.0,0.0,0.800000011920929,0.0,0.0,insult
“Cliven Bundy is a thief and terrorist” is a factual comment.,0.75,0.046875,0.0,0.0,0.734375,0.015625,0.0,identity_attack
"Yeah, it costs as much as we are willing to let them take from us!  FBI!",0.0,0.0,0.0,0.0,0.0,0.0,0.0,clean
You believe in conspiracies?  She writes for what you call the liberal media.  So why did they publish it?,0.0,0.0,0.0,0.0,0.0,0.0,0.0,clean
"Carl, Carl, Carl, Carl, Carl!! No, no, no, no, no, no!! Please take some time off but please come back!!",0.1666666716337204,0.1666666716337204,0.0,0.0,0.0,0.0,0.0,severe_toxicity
"I don't think so, not if ®epublicans run on their legislative accomplishments. Republican voters are figuring out, slowly, that you can't live on spite alone, or pay the hospital bills. Another Trump run should finish the Republican party.",0.0,0.0,0.0,0.0,0.0,0.0,0.0,clean
"Child rape is cool, if the right people do it.",0.9404761791229248,0.19583334028720856,0.09642857313156128,0.2541666626930237,0.12857143580913544,0.07083333283662796,0.901190459728241,threat
"At a time when city services are being cut…where is the money coming from?

If one lives within the city, and is gainfully employed, or owns property, and has a limited means of sheltering such income, them.

 Once those that have been given the power to regulate our lives and fortunes, reach a certain level, it seems to them at least, it is far easier to seek forgiveness, than ask permission.",0.20000000298023224,0.0,0.0,0.0,0.20000000298023224,0.0,0.0,insult
I'm sure no Oregonians own rental property anywhere else in the country.,0.1666666716337204,0.0,0.0,0.0,0.1666666716337204,0.1666666716337204,0.0,identity_attack
It makes you wonder what the person driving the motor home was doing at the time of the crash.  It's a tragic loss for the family and the little girl.  I was an eye witness to the crash at 28th and Main streets on Monday.  I'm still wondering why the woman turned in front of the truck.  One of her dogs was killed.  She's fortunate she wasn't more seriously injured or killed.,0.1666666716337204,0.0,0.0,0.1666666716337204,0.1666666716337204,0.0,0.0,threat
"Read what Abraham Lincoln said at the end of the Civil War. Your opinion contradicts Lincoln's words, and reality.",0.0,0.0,0.0,0.0,0.0,0.0,0.0,clean
Obama shakes the bloodsoaked hand of the terrorist Raul Castro.  Nothing will be gained except more tyranny.,0.20000000298023224,0.10000000149011612,0.0,0.0,0.20000000298023224,0.0,0.0,severe_toxicity
"Of course not. History of our nation only started when the white man arrived. These folks were never ""immigrants"", as if that was a bad name, they were ""settlers"", who considered any undeveloped land their own, to do as they please, regardless of others, just as the Bundy Klan do today.",0.20000000298023224,0.10000000149011612,0.0,0.0,0.20000000298023224,0.20000000298023224,0.0,identity_attack
it's saving him a fortune in campaign costs. it's also getting him more votes.  I'm ready to vote for him simply because he pisses off the PC liberals and the pseudo conservatives that have taken over the GOP.,0.1666666716337204,0.0,0.1666666716337204,0.0,0.0,0.0,0.0,obscene
Soon everything will be free!!  What a great day,0.1666666716337204,0.1666666716337204,0.0,0.0,0.0,0.0,0.0,severe_toxicity
The motor/voter law combined with the new minimum wage means that the people in Salem just bought themselves a lot of votes for years to come.,0.1666666716337204,0.0,0.0,0.0,0.0,0.1666666716337204,0.0,identity_attack
There was no alcohol sold at Cannaball. The OLCC are lying.,0.20000000298023224,0.0,0.0,0.0,0.20000000298023224,0.0,0.0,insult
"Uber. The world’s most odious company. No law goober won’t break, no lie goober won’t tell, no passenger goober won’t rob, no driver goober won’t exploit. Grubby, grubby goober.

Goober are strongly opposed to fingerprint checks because identifying criminals greatly reduces their potential driver pool.",0.4749999940395355,0.0,0.03750000149011612,0.0,0.44999998807907104,0.05000000074505806,0.012500000186264515,sexual_explicit
"globe, if you werent mainstream media and stupid.,.....u would know russia syria and HUMANITY WON!

your dumb!  just like all of canada!  wake up get off mainstream media!",0.8405796885490417,0.028985507786273956,0.18840579688549042,0.0,0.8260869383811951,0.21739129722118378,0.0,identity_attack
"Nobody that truly cares about the real Craft sector, locally owned, locally operated will ever ""forget about"" the AB-Sellout.

At least Dick Cantrell ( Elysian ) had the integrity to walk away from the huge corporate monster.",0.1666666716337204,0.0,0.1666666716337204,0.0,0.1666666716337204,0.0,0.0,obscene
You need counseling. -- Paul,0.10000000149011612,0.10000000149011612,0.0,0.0,0.10000000149011612,0.0,0.0,severe_toxicity
"yeah, let's take a guess at who devised tenure. A buck 3 80? Sold. Can we work out a payment schedule? See, my car broke down and the utility bill was high and I had to take a day off because my dog was sick and... and..... and.....",0.1666666716337204,0.0,0.1666666716337204,0.0,0.1666666716337204,0.0,0.0,obscene
"Omg OMG! Hype-Hype-HYPER ventilate! 
Milk the pathetic scene for every last drop of 
militarized adreneline you can. Ooh-rah.

Really? No explosive booby traps were found? 
What a surprise! Did the Fibbies do a search for 
insurgent elves and thermonuclear unicorns too?",0.3870967626571655,0.0,0.0,0.016129031777381897,0.35483869910240173,0.0,0.016129031777381897,threat
"You actions are the same. The consequences are different. Let me ask you again. It is a pretty simple yes or no: Are you proposing that say, a motorist who accidentally runs a red light and kills a couple of kids should get the same punishment as a motorist who runs a red light but does NOT kill children?",0.0,0.0,0.0,0.1666666716337204,0.0,0.0,0.0,threat
Agree...should sell some to Turkey and Iran and they can use them on each other.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,clean
what are supposed to see in the pic?  the behind of a guy in a suit?  really?  ok...,0.5,0.0,0.20000000298023224,0.0,0.20000000298023224,0.0,0.30000001192092896,sexual_explicit
